theta_over_pi,phi_over_pi,data,error
0.9375,0.6875,0.566,0.0273707873470969
0.9375,0.75,0.501,0.0201603571396937
0.9375,0.8125,0.449,0.015243359209833
0.9375,0.875,0.394,0.0120598507453451
0.9375,0.9375,0.374,0.0129243955371228
0.9375,1,0.376,0.0168629771985851
1,0,1.137,0.0263250830957853
1,0.0625,1.09,0.0188151534673518
1,0.125,1.119,0.035509012940379
1,0.1875,1.056,0.0205526154053445
1,0.25,1.034,0.0461615640982842
1,0.3125,0.962,0.0423395795916776
1,0.375,0.872,0.0393040710359627
1,0.4375,0.781,0.0325969323710069
1,0.5,0.731,0.0595882538760786
1,0.5625,0.655,0.0546926868968787
1,0.625,0.567,0.0430010464988935
1,0.6875,0.495,0.0401103477920599
1,0.75,0.436,0.0366136586535681
1,0.8125,0.369,0.0202474689776278
1,0.875,0.328,0.0150416089564913
1,0.9375,0.302,0.0151924323266553
1,1,0.313,0.0346192143180633
