theta_over_pi,phi_over_pi,data,error
0.75,0.5625,-0.1126,0.00411870125160833
0.75,0.625,-0.2276,0.00395005063258686
0.75,0.6875,-0.3647,0.0100448992030782
0.75,0.75,-0.5119,0.0123166553901617
0.75,0.8125,-0.6833,0.0143391073641284
0.75,0.875,-0.8529,0.019654007224991
0.75,0.9375,-0.9825,0.0216831731995112
0.75,1,-1.0341,0.0209659247351506
0.8125,0,1.0205,0.0124811858410969
0.8125,0.0625,0.9796,0.0179969441850555
0.8125,0.125,0.8381,0.0149682998366547
0.8125,0.1875,0.6686,0.0126495059192049
0.8125,0.25,0.499,0.0096881370758263
0.8125,0.3125,0.3499,0.00704059656563274
0.8125,0.375,0.2218,0.00518795720876723
0.8125,0.4375,0.10891,0.00344177279900927
0.8125,0.5,-0.00017,0.00078587530817554
0.8125,0.5625,-0.10801,0.00288736904464946
0.8125,0.625,-0.2239,0.00572712842531053
0.8125,0.6875,-0.3494,0.0056320511361315
0.8125,0.75,-0.5015,0.0111198021565134
0.8125,0.8125,-0.6704,0.0137539085353946
0.8125,0.875,-0.8459,0.0195563288988501
0.8125,0.9375,-0.9764,0.014912075643585
0.8125,1,-1.034,0.0205243757517739
0.875,0,1.0332,0.0242853865524103
0.875,0.0625,0.968,0.0149040263016408
0.875,0.125,0.8339,0.0146536684826701
0.875,0.1875,0.6584,0.0119436175424366
0.875,0.25,0.4916,0.0108503456166152
0.875,0.3125,0.3436,0.00684470598345908
0.875,0.375,0.2139,0.0040232946697949
0.875,0.4375,0.10418,0.00277994604264183
0.875,0.5,-0.00016,0.000745452882481515
0.875,0.5625,-0.10365,0.0020310588371586
0.875,0.625,-0.2153,0.00420637611252249
0.875,0.6875,-0.3435,0.00825651258098726
0.875,0.75,-0.488,0.00817435012707429
0.875,0.8125,-0.6597,0.0116914498673175
0.875,0.875,-0.8308,0.0152610615620277
0.875,0.9375,-0.9707,0.0165081797906372
0.875,1,-1.0263,0.0234480276356029
0.9375,0,1.0174,0.0176819116613562
0.9375,0.0625,0.958,0.0133454111963625
0.9375,0.125,0.8141,0.00806225774829862
0.9375,0.1875,0.646,0.0108683025353549
0.9375,0.25,0.4804,0.00868849814409833
0.9375,0.3125,0.3327,0.00592769769809492
0.9375,0.375,0.2075,0.0040714125312967
0.9375,0.4375,0.09993,0.0018964440408301
0.9375,0.5,-0.00041,0.000778331548891602
0.9375,0.5625,-0.10023,0.00186496648763456
0.9375,0.625,-0.2075,0.00346902003453424
0.9375,0.6875,-0.3329,0.00696347614342145
0.9375,0.75,-0.479,0.010316006979447
0.9375,0.8125,-0.6489,0.0118600168633945
0.9375,0.875,-0.8168,0.0104923781860929
0.9375,0.9375,-0.9563,0.012300406497348
0.9375,1,-1.008,0.0115108644332213
1,0,1.0075,0.0172702055575492
1,0.0625,0.9394,0.00988989383158384
1,0.125,0.8057,0.00926984358012576
1,0.1875,0.6352,0.00730547739713157
1,0.25,0.47,0.00597745765355137
1,0.3125,0.3256,0.00322374006396298
1,0.375,0.2037,0.00325729949498046
1,0.4375,0.09649,0.000839344982709735
1,0.5,-0.0006,0.000745251635355468
1,0.5625,-0.09832,0.00161226548682282
1,0.625,-0.2049,0.00425465627283803
1,0.6875,-0.3259,0.00541202365109396
1,0.75,-0.4708,0.0072124891681028
1,0.8125,-0.6375,0.00720902212508737
1,0.875,-0.8155,0.0153310143173895
1,0.9375,-0.9549,0.0127121988656565
1,1,-0.9989,0.00949210198006743
