theta_over_pi,phi_over_pi,data,error
0.6875,0.3125,1.386,0.0669103878332803
0.6875,0.375,1.328,0.0939338064809471
0.6875,0.4375,1.229,0.0779441466692658
0.6875,0.5,1.1605,0.0933265771364192
0.6875,0.5625,1.0666,0.0787993020273657
0.6875,0.625,0.9845,0.0682782542248994
0.6875,0.6875,0.9086,0.0561918143504906
0.6875,0.75,0.8742,0.069115049012498
0.6875,0.8125,0.82,0.0530687290219013
0.6875,0.875,0.7712,0.0358733884655464
0.6875,0.9375,0.7603,0.0441780488478158
0.6875,1,0.744,0.0367163451340135
0.75,0,1.515,0.0243944665856828
0.75,0.0625,1.502,0.0214979068748565
0.75,0.125,1.459,0.0131381124976155
0.75,0.1875,1.473,0.0743744579812184
0.75,0.25,1.391,0.0685878269082788
0.75,0.3125,1.29,0.0481727101168285
0.75,0.375,1.224,0.0729882867315024
0.75,0.4375,1.121,0.0586586736979282
0.75,0.5,1.031,0.0631962024175503
0.75,0.5625,0.9486,0.0545869031911501
0.75,0.625,0.8653,0.0406735786475692
0.75,0.6875,0.809,0.043158544924499
0.75,0.75,0.7516,0.0451677982638074
0.75,0.8125,0.6922,0.0248278069913555
0.75,0.875,0.6597,0.0312833821700914
0.75,0.9375,0.6574,0.0398246155034797
0.75,1,0.648,0.0409956095210207
0.8125,0,1.422,0.0190318154677897
0.8125,0.0625,1.414,0.0161554944214035
0.8125,0.125,1.394,0.0214009345590326
0.8125,0.1875,1.358,0.0390875939397657
0.8125,0.25,1.275,0.0342163703510469
0.8125,0.3125,1.201,0.0440941039142423
0.8125,0.375,1.128,0.0566776852032613
0.8125,0.4375,1.025,0.0539351462406471
0.8125,0.5,0.952,0.0601372596648699
0.8125,0.5625,0.863,0.0548197956946211
0.8125,0.625,0.7939,0.0582645689935144
0.8125,0.6875,0.721,0.0449805513527791
0.8125,0.75,0.6568,0.0386846222677695
0.8125,0.8125,0.5802,0.0108406641862942
0.8125,0.875,0.5653,0.0278958778316797
0.8125,0.9375,0.5495,0.0318763235019348
0.8125,1,0.538,0.0249721845259881
0.875,0,1.31,0.0263104541960035
0.875,0.0625,1.305,0.01525909564817
0.875,0.125,1.266,0.016280049139975
0.875,0.1875,1.25,0.0234955314900515
0.875,0.25,1.17,0.0216333076527839
0.875,0.3125,1.108,0.0465192433300458
0.875,0.375,1.018,0.0377387069200841
0.875,0.4375,0.943,0.0573645360828447
0.875,0.5,0.843,0.0413885249797573
0.875,0.5625,0.751,0.0350697875670783
0.875,0.625,0.673,0.0289799930986879
0.875,0.6875,0.607,0.0275769831562482
0.875,0.75,0.5555,0.0288516897252137
0.875,0.8125,0.4997,0.0192262840923565
0.875,0.875,0.451,0.0110145358504115
0.875,0.9375,0.444,0.0171233758353895
0.875,1,0.429,0.018212358441454
0.9375,0,1.212,0.0190850727009357
0.9375,0.0625,1.161,0.0481937755317012
0.9375,0.125,1.142,0.0295296461204668
0.9375,0.1875,1.096,0.0199251097863976
0.9375,0.25,1.039,0.0141509716980849
0.9375,0.3125,0.964,0.0132423562857975
0.9375,0.375,0.914,0.0401358941597169
0.9375,0.4375,0.822,0.0376628464139395
0.9375,0.5,0.73,0.0302793659114585
0.9375,0.5625,0.671,0.0468624583222007
0.9375,0.625,0.571,0.019170028690641
0.9375,0.6875,0.506,0.0276795953727651
0.9375,0.75,0.43,0.0123434192993676
0.9375,0.8125,0.397,0.017414074767268
0.9375,0.875,0.366,0.0198957281847134
0.9375,0.9375,0.323,0.0103324730824716
0.9375,1,0.312,0.0142042247236518
1,0,1.115,0.0222146348158145
1,0.0625,1.085,0.0353305816538591
1,0.125,1.083,0.0160822883943797
1,0.1875,1.045,0.0235847408296127
1,0.25,0.947,0.0233540146441677
1,0.3125,0.925,0.0402155442584084
1,0.375,0.805,0.0150416089564913
1,0.4375,0.748,0.0367695526217005
1,0.5,0.661,0.0334687914332143
1,0.5625,0.586,0.0392796384912081
1,0.625,0.507,0.0286530975637888
1,0.6875,0.432,0.0197989898732233
1,0.75,0.389,0.0286225435627234
1,0.8125,0.279,0.0347252069828244
1,0.875,0.273,0.0159840545544614
1,0.9375,0.255,0.0136
1,1,0.24,0.015564061166675
